kind,episode,loss,policy_loss,value_loss,entropy,steps,eps,hpwl_end,illegal_actions,avg_candidates,avg_type_filtered_ratio,time_sec
full,6,10928134.375000,-0.000013,10928134.375000,0.002022,256,0.2625,27914.089992,0.00,32.00,0.0002,11.717635
full,7,10858439.625000,-0.000006,10858439.625000,0.001417,256,0.2550,27914.089992,0.00,32.00,0.0002,11.815875
full,8,10802222.750000,-0.000004,10802222.750000,0.001028,256,0.2475,27914.089992,0.00,32.00,0.0002,11.769660
full,9,10759162.375000,-0.000003,10759162.375000,0.000761,256,0.2400,27914.089992,0.00,32.00,0.0002,11.895978
full,10,10722791.625000,-0.000001,10722791.625000,0.000564,256,0.2325,27914.089992,0.00,32.00,0.0002,11.710021
full,11,10715317.187500,-0.000001,10715317.187500,0.000419,256,0.2250,27914.089992,0.00,32.00,0.0002,11.841299
full,12,10727287.437500,-0.000000,10727287.437500,0.000313,256,0.2175,27914.089992,0.00,32.00,0.0002,11.756477
full,13,10765920.062500,-0.000000,10765920.062500,0.000231,256,0.2100,27914.089992,0.00,32.00,0.0002,11.849579
full,14,10824722.625000,-0.000000,10824722.625000,0.000170,256,0.2025,27914.089992,0.00,32.00,0.0002,11.789288
full,15,10917857.062500,0.000000,10917857.062500,0.000123,256,0.1950,27914.089992,0.00,32.00,0.0002,11.759376
full,16,11045404.312500,0.000000,11045404.312500,0.000090,256,0.1875,27914.089992,0.00,32.00,0.0002,11.740340
full,17,11196860.375000,0.000000,11196860.375000,0.000067,256,0.1800,27914.089992,0.00,32.00,0.0002,11.764713
full,18,11335969.000000,0.000000,11335969.000000,0.000051,256,0.1725,27914.089992,0.00,32.00,0.0002,11.679726
full,19,11489676.250000,0.000000,11489676.250000,0.000039,256,0.1650,27914.089992,0.00,32.00,0.0002,11.878278
full,20,11594430.750000,0.000000,11594430.750000,0.000031,256,0.1575,27914.089992,0.00,32.00,0.0002,11.673375
full,21,11696293.750000,0.000000,11696293.750000,0.000024,256,0.1500,27914.089992,0.00,32.00,0.0002,11.772325
full,22,11758896.875000,0.000000,11758896.875000,0.000020,256,0.1425,27914.089992,0.00,32.00,0.0002,11.623285
full,23,11780807.875000,0.000000,11780807.875000,0.000017,256,0.1350,27914.089992,0.00,32.00,0.0002,11.852291
