cell_name,site_id,x_um,y_um
$abc$2096$auto$blifparse.cc:396:parse_blif$2097,105841,5.460000038146973,657.7999877929688
$abc$2096$auto$blifparse.cc:396:parse_blif$2099,61741,5.460000038146973,385.79998779296875
$abc$2096$auto$blifparse.cc:396:parse_blif$2100,88200,5.0,549.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2101,1569,888.6599731445312,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2102,7193,60.20000076293945,56.68000030517578
$abc$2096$auto$blifparse.cc:396:parse_blif$2103,105840,5.0,657.7999877929688
$abc$2096$auto$blifparse.cc:396:parse_blif$2104,14,5.0,7.71999979019165
$abc$2096$auto$blifparse.cc:396:parse_blif$2105,1373,778.260009765625,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2106,1372,777.7999877929688,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2107,1568,888.2000122070312,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2108,1728,996.760009765625,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2159,883,502.260009765625,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2160,70561,5.460000038146973,440.20001220703125
$abc$2096$auto$blifparse.cc:396:parse_blif$2164,70574,5.0,442.9200134277344
$abc$2096$auto$blifparse.cc:396:parse_blif$2165,845,497.6600036621094,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2181,846,499.9599914550781,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2191,0,5.0,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2192,197,115.86000061035156,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2202,882,501.79998779296875,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2241,70560,5.0,440.20001220703125
$abc$2096$auto$blifparse.cc:396:parse_blif$2242,61740,5.0,385.79998779296875
$abc$2096$auto$blifparse.cc:396:parse_blif$2282,8882,58.36000061035156,59.400001525878906
$abc$2096$auto$blifparse.cc:396:parse_blif$2291,1,5.460000038146973,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2326,16601,391.3999938964844,111.08000183105469
$abc$2096$auto$blifparse.cc:396:parse_blif$2327,18290,389.55999755859375,113.80000305175781
$abc$2096$auto$blifparse.cc:396:parse_blif$2365,80262,501.79998779296875,494.6000061035156
$abc$2096$auto$blifparse.cc:396:parse_blif$2366,80226,499.9599914550781,494.6000061035156
$abc$2096$auto$blifparse.cc:396:parse_blif$2405,16551,389.55999755859375,108.36000061035156
$abc$2096$auto$blifparse.cc:396:parse_blif$2406,16602,391.8599853515625,111.08000183105469
$abc$2096$auto$blifparse.cc:396:parse_blif$2437,25520,447.05999755859375,165.47999572753906
$abc$2096$auto$blifparse.cc:396:parse_blif$2441,25469,444.760009765625,162.75999450683594
$auto$hilomap.cc:40:hilomap_worker$2060,27208,444.760009765625,168.1999969482422
$auto$hilomap.cc:40:hilomap_worker$2547,78537,501.79998779296875,491.8800048828125
$auto$hilomap.cc:48:hilomap_worker$2058,25519,446.6000061035156,165.47999572753906
$abc$2096$auto$blifparse.cc:396:parse_blif$2161,79394,5.0,497.32000732421875
$abc$2096$auto$blifparse.cc:396:parse_blif$2162,77655,5.0,491.8800048828125
$abc$2096$auto$blifparse.cc:396:parse_blif$2166,18289,387.260009765625,113.80000305175781
$abc$2096$auto$blifparse.cc:396:parse_blif$2167,35685,251.55999755859375,222.60000610351562
$abc$2096$auto$blifparse.cc:396:parse_blif$2171,8835,5.460000038146973,62.119998931884766
$abc$2096$auto$blifparse.cc:396:parse_blif$2173,52981,56.060001373291016,331.3999938964844
$abc$2096$auto$blifparse.cc:396:parse_blif$2178,70562,7.760000228881836,440.20001220703125
$abc$2096$auto$blifparse.cc:396:parse_blif$2184,4473,529.4000244140625,29.479999542236328
$abc$2096$auto$blifparse.cc:396:parse_blif$2185,844,495.3599853515625,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2187,60016,5.460000038146973,383.0799865722656
$abc$2096$auto$blifparse.cc:396:parse_blif$2193,52921,5.460000038146973,331.3999938964844
$abc$2096$auto$blifparse.cc:396:parse_blif$2198,60015,5.0,383.0799865722656
$abc$2096$auto$blifparse.cc:396:parse_blif$2207,18326,391.3999938964844,113.80000305175781
$abc$2096$auto$blifparse.cc:396:parse_blif$2218,79380,5.0,494.6000061035156
$abc$2096$auto$blifparse.cc:396:parse_blif$2224,65293,5.460000038146973,413.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2225,52982,58.36000061035156,331.3999938964844
$abc$2096$auto$blifparse.cc:396:parse_blif$2246,79381,5.460000038146973,494.6000061035156
$abc$2096$auto$blifparse.cc:396:parse_blif$2247,65292,5.0,413.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2250,52920,5.0,331.3999938964844
$abc$2096$auto$blifparse.cc:396:parse_blif$2251,47666,30.760000228881836,304.20001220703125
$abc$2096$auto$blifparse.cc:396:parse_blif$2263,98,60.20000076293945,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2264,8834,5.0,62.119998931884766
$abc$2096$auto$blifparse.cc:396:parse_blif$2301,748,444.760009765625,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2302,747,442.4599914550781,5.0
$abc$2096$auto$blifparse.cc:396:parse_blif$2341,12703,221.66000366210938,81.16000366210938
$abc$2096$auto$blifparse.cc:396:parse_blif$2342,13230,501.79998779296875,81.16000366210938
$abc$2096$auto$blifparse.cc:396:parse_blif$2380,12779,225.8000030517578,89.31999969482422
$abc$2096$auto$blifparse.cc:396:parse_blif$2382,12727,219.36000061035156,86.5999984741211
$abc$2096$auto$blifparse.cc:396:parse_blif$2421,42730,228.55999755859375,266.1199951171875
$abc$2096$auto$blifparse.cc:396:parse_blif$2422,27306,499.9599914550781,168.1999969482422
$abc$2096$auto$blifparse.cc:396:parse_blif$2438,12764,225.8000030517578,86.5999984741211
$auto$insbuf.cc:97:execute$2486,12755,226.25999450683594,83.87999725341797
$auto$insbuf.cc:97:execute$2487,18288,384.9599914550781,113.80000305175781
$auto$insbuf.cc:97:execute$2488,12765,226.25999450683594,86.5999984741211
$auto$insbuf.cc:97:execute$2489,27244,446.6000061035156,168.1999969482422
$auto$insbuf.cc:97:execute$2490,12754,225.8000030517578,83.87999725341797
$auto$insbuf.cc:97:execute$2491,14468,223.9600067138672,92.04000091552734
$auto$insbuf.cc:97:execute$2492,12780,226.25999450683594,89.31999969482422
$auto$insbuf.cc:97:execute$2493,12729,223.9600067138672,86.5999984741211
$auto$insbuf.cc:97:execute$2494,13244,501.79998779296875,83.87999725341797
$auto$insbuf.cc:97:execute$2495,12726,217.05999755859375,86.5999984741211
$auto$insbuf.cc:97:execute$2496,27305,497.6600036621094,168.1999969482422
$auto$insbuf.cc:97:execute$2497,14467,221.66000366210938,92.04000091552734
$auto$insbuf.cc:97:execute$2498,12728,221.66000366210938,86.5999984741211
$auto$insbuf.cc:97:execute$2499,27207,442.4599914550781,168.1999969482422
$auto$insbuf.cc:97:execute$2500,25521,449.3599853515625,165.47999572753906
$auto$insbuf.cc:97:execute$2501,13245,502.260009765625,83.87999725341797
$auto$insbuf.cc:97:execute$2502,18327,391.8599853515625,113.80000305175781
$auto$insbuf.cc:97:execute$2503,11507,504.55999755859375,78.44000244140625
