design,cooling_rate,moves_per_temp,runtime_sec,hpwl,seed,dominated
6502,0.8,50,15.200328999955673,347427.7924437332,43,0
6502,0.8,100,15.844648000027519,368224.2644408798,44,1
6502,0.8,150,15.721813299984206,363657.16444059374,45,1
6502,0.8,200,16.11953739996534,359280.8843393898,46,1
6502,0.8,300,16.327317100018263,348519.12325073243,47,1
6502,0.85,50,15.83073519996833,351966.0851262093,48,1
6502,0.85,100,15.621651099994779,375023.9641880608,49,1
6502,0.85,150,15.468260499997996,379559.74599876406,50,1
6502,0.85,200,15.368797500035726,381366.44475265505,51,1
6502,0.85,300,15.9022430999903,363712.8623106003,52,1
6502,0.9,50,15.214237499982119,355957.8429774857,53,1
6502,0.9,100,15.864164700033143,372889.40388351446,54,1
6502,0.9,150,15.741237899987027,395476.724153328,55,1
6502,0.9,200,16.075322599965148,396994.5235410309,56,1
6502,0.9,300,16.35393819998717,386030.6862797356,57,1
6502,0.95,50,15.76079650002066,359318.42452116014,58,1
6502,0.95,100,15.606074600014836,386383.46486206056,59,1
6502,0.95,150,15.693159799964633,406559.74359079363,60,1
6502,0.95,200,15.676939000026323,412010.3644863701,61,1
6502,0.95,300,15.945216699969023,420857.5645928955,62,1
6502,0.99,50,15.306379700021353,358042.86485277175,63,1
6502,0.99,100,15.85645179997664,383164.0844006157,64,1
6502,0.99,150,15.531160300015472,414837.66371479037,65,1
6502,0.99,200,15.40491209999891,445411.6453920364,66,1
6502,0.99,300,15.381551400001626,438654.2048038483,67,1
