design,cooling_rate,moves_per_temp,p_refine,p_explore,refine_max_distance,W_initial,T_initial_raw,runtime_sec,hpwl,seed,dominated
6502,0.8,100,0.7,0.3,50.0,0.5,auto,16.661406399973202,357120.16455394746,43,1
6502,0.8,100,0.7,0.3,50.0,0.5,50,16.25610100000631,282447.7250919914,44,1
6502,0.8,100,0.7,0.3,50.0,0.5,100,15.744012799987104,294084.1819774628,45,1
6502,0.8,100,0.7,0.3,50.0,0.3,auto,16.206277500023134,343225.1822364998,46,1
6502,0.8,100,0.7,0.3,50.0,0.3,50,16.290591099997982,281928.02429504396,47,1
6502,0.8,100,0.7,0.3,50.0,0.3,100,15.940999699989334,298772.1514274788,48,1
6502,0.8,100,0.7,0.3,100.0,0.5,auto,16.035711300035473,365739.32367559435,49,1
6502,0.8,100,0.7,0.3,100.0,0.5,50,16.51968249998754,280564.1820409775,50,1
6502,0.8,100,0.7,0.3,100.0,0.5,100,16.528934200003278,292451.8821397972,51,1
6502,0.8,100,0.7,0.3,100.0,0.3,auto,16.343724399979692,359931.3253087044,52,1
6502,0.8,100,0.7,0.3,100.0,0.3,50,17.164145099988673,278649.4633396149,53,1
6502,0.8,100,0.7,0.3,100.0,0.3,100,15.344435999984853,294156.9822984314,54,1
6502,0.8,100,0.7,0.4,50.0,0.5,auto,15.464636099990457,362189.03263700486,55,1
6502,0.8,100,0.7,0.4,50.0,0.5,50,17.841139300027862,281418.48150844575,56,1
6502,0.8,100,0.7,0.4,50.0,0.5,100,17.791620300034992,296864.4525250053,57,1
6502,0.8,100,0.7,0.4,50.0,0.3,auto,17.896400000026915,354941.8860454178,58,1
6502,0.8,100,0.7,0.4,50.0,0.3,50,19.0701389000169,285494.1013324738,59,1
6502,0.8,100,0.7,0.4,50.0,0.3,100,19.391993500001263,290427.34206157684,60,1
6502,0.8,100,0.7,0.4,100.0,0.5,auto,18.090190100017935,371040.08397584915,61,1
6502,0.8,100,0.7,0.4,100.0,0.5,50,20.04268780001439,278398.9235289574,62,1
