kind,episode,loss,policy_loss,value_loss,entropy,steps,hpwl_local_end,time_sec
swap,56,2265.738647,,,,80,5729.290019,0.277470
swap,57,720.497177,,,,80,5568.350021,0.238807
swap,58,3374.980835,,,,80,5569.970020,0.251562
swap,59,1395.587799,,,,80,5680.630025,0.248311
swap,60,1366.678314,,,,80,5761.830023,0.242248
swap,1,1915.389862,,,,80,4492.340016,0.265278
swap,2,1119.205658,,,,80,4581.260016,0.278748
swap,3,1546.886292,,,,80,4582.880011,0.233618
swap,4,2173.938354,,,,80,4766.280013,0.270644
swap,5,1910.090912,,,,80,4548.060002,0.269865
swap,6,791.184769,,,,80,4536.180010,0.299406
swap,7,1361.244385,,,,80,4702.860014,0.268011
swap,8,1544.739807,,,,80,4496.100016,0.269094
swap,9,949.432953,,,,80,4614.720011,0.261081
swap,10,2329.806091,,,,80,4475.640021,0.244076
swap,11,6180.366577,,,,80,4799.420004,0.272829
swap,12,3457.742676,,,,80,4612.040011,0.244295
swap,13,1307.354706,,,,80,4432.440011,0.268599
swap,14,555.188110,,,,80,4513.620013,0.238579
swap,15,2136.070984,,,,80,4514.120011,0.239891
swap,16,2967.445068,,,,80,4564.280019,0.256924
swap,17,1243.213318,,,,80,4666.760016,0.263644
swap,18,2512.597107,,,,80,4583.960009,0.234065
swap,19,8007.411743,,,,80,4781.380004,0.245919
swap,20,1857.013519,,,,80,4487.340013,0.245246
swap,21,785.722366,,,,80,4507.800017,0.264478
swap,22,4775.342041,,,,80,4587.120020,0.253391
swap,23,4175.825806,,,,80,4686.640009,0.262924
swap,24,2397.605652,,,,80,4479.920003,0.239980
swap,25,1133.654877,,,,80,4639.640009,0.266858
swap,26,1505.501678,,,,80,4457.880015,0.257775
swap,27,3331.345093,,,,80,4443.020011,0.264395
swap,28,4468.614258,,,,80,4692.980001,0.238431
swap,29,6694.616455,,,,80,4826.240009,0.279414
swap,30,5342.509399,,,,80,4683.940009,0.259752
swap,31,928.802780,,,,80,4482.560011,0.249572
swap,32,4993.997559,,,,80,4816.140009,0.267315
swap,33,3281.192383,,,,80,4597.720006,0.233616
swap,34,1279.447876,,,,80,4455.780007,0.257094
swap,35,1295.277771,,,,80,4650.020014,0.260785
swap,36,3431.848267,,,,80,4429.760005,0.227732
swap,37,3643.098083,,,,80,4695.140009,0.238182
swap,38,1866.114868,,,,80,4412.220010,0.247698
swap,39,2519.933716,,,,80,4360.199999,0.267602
swap,40,1427.762634,,,,80,4453.400010,0.237360
swap,41,414.651192,,,,80,4443.200014,0.270667
swap,42,1442.801453,,,,80,4651.320010,0.259837
swap,43,2317.677795,,,,80,4549.700011,0.260455
swap,44,5868.396729,,,,80,4546.280011,0.260157
swap,45,3248.246094,,,,80,4555.280005,0.278930
swap,46,2425.262512,,,,80,4473.760012,0.241893
