cell_name,site_id,x_um,y_um,physical_cell_name,cell_type
$abc$155330$auto$blifparse.cc:396:parse_blif$159414,52169,571.260009765625,325.9599914550781,T20Y29__R2_OR_0,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159415,59048,479.260009765625,364.0400085449219,T17Y33__R0_NAND_2,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159416,50216,447.05999755859375,317.79998779296875,T16Y28__R3_NAND_0,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159417,67656,357.3599853515625,423.8800048828125,T12Y38__R2_OR_3,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159418,69395,357.3599853515625,429.32000732421875,T12Y39__R0_OR_1,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159419,65865,352.760009765625,407.55999755859375,T12Y37__R0_NAND_4,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159420,69396,359.6600036621094,429.32000732421875,T12Y39__R0_OR_2,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159421,69401,341.260009765625,432.0400085449219,T12Y39__R1_INV_0,sky130_fd_sc_hd__clkinv_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159422,67630,355.05999755859375,418.44000244140625,T12Y38__R0_OR_0,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159423,67629,352.760009765625,418.44000244140625,T12Y38__R0_NAND_4,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159424,67655,355.05999755859375,423.8800048828125,T12Y38__R2_OR_2,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159425,51779,355.05999755859375,325.9599914550781,T12Y29__R2_OR_2,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159426,51778,352.760009765625,325.9599914550781,T12Y29__R2_OR_1,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159427,51752,350.4599914550781,320.5199890136719,T12Y29__R0_NAND_3,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159428,51748,343.55999755859375,320.5199890136719,T12Y29__R0_INV_0,sky130_fd_sc_hd__clkinv_2
