cell_name,cell_type,port,net_bit,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2121,sky130_fd_sc_hd__nand2_2,B,149,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2121,sky130_fd_sc_hd__nand2_2,Y,150,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2122,sky130_fd_sc_hd__clkinv_2,A,150,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2122,sky130_fd_sc_hd__clkinv_2,Y,151,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2123,sky130_fd_sc_hd__nand2_2,A,109,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2123,sky130_fd_sc_hd__nand2_2,B,148,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2123,sky130_fd_sc_hd__nand2_2,Y,152,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2124,sky130_fd_sc_hd__or2_2,A,109,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2124,sky130_fd_sc_hd__or2_2,B,148,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2124,sky130_fd_sc_hd__or2_2,X,153,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2125,sky130_fd_sc_hd__nand2_2,A,152,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2125,sky130_fd_sc_hd__nand2_2,B,153,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2125,sky130_fd_sc_hd__nand2_2,Y,154,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2126,sky130_fd_sc_hd__nand2_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2126,sky130_fd_sc_hd__nand2_2,B,155,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2126,sky130_fd_sc_hd__nand2_2,Y,156,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2127,sky130_fd_sc_hd__nand2_2,A,124,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2127,sky130_fd_sc_hd__nand2_2,B,157,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2127,sky130_fd_sc_hd__nand2_2,Y,158,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2128,sky130_fd_sc_hd__nand2_2,A,156,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2128,sky130_fd_sc_hd__nand2_2,B,158,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2128,sky130_fd_sc_hd__nand2_2,Y,159,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2129,sky130_fd_sc_hd__nand2_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2129,sky130_fd_sc_hd__nand2_2,B,157,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2129,sky130_fd_sc_hd__nand2_2,Y,160,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2130,sky130_fd_sc_hd__clkinv_2,A,160,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2130,sky130_fd_sc_hd__clkinv_2,Y,161,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2131,sky130_fd_sc_hd__nand2_2,A,110,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2131,sky130_fd_sc_hd__nand2_2,B,161,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2131,sky130_fd_sc_hd__nand2_2,Y,162,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2132,sky130_fd_sc_hd__nand2_2,A,126,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2132,sky130_fd_sc_hd__nand2_2,B,162,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2132,sky130_fd_sc_hd__nand2_2,Y,163,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2133,sky130_fd_sc_hd__nand2_2,A,125,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2133,sky130_fd_sc_hd__nand2_2,B,110,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2133,sky130_fd_sc_hd__nand2_2,Y,164,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2134,sky130_fd_sc_hd__or2_2,A,160,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2134,sky130_fd_sc_hd__or2_2,B,164,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2134,sky130_fd_sc_hd__or2_2,X,165,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2135,sky130_fd_sc_hd__nand2_2,A,163,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2135,sky130_fd_sc_hd__nand2_2,B,165,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2135,sky130_fd_sc_hd__nand2_2,Y,166,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2136,sky130_fd_sc_hd__clkinv_2,A,166,input
