name,side,layer,x_um,y_um,x_dbu,y_dbu,track_idx,direction,status
oeb_30,west,met3,0.0,5.78,0,5780,8,INPUT,FIXED
in_31,west,met3,0.0,113.22,0,113220,166,INPUT,FIXED
out_31,west,met3,0.0,113.9,0,113900,167,OUTPUT,FIXED
oeb_31,west,met3,0.0,114.58,0,114580,168,INPUT,FIXED
in_32,west,met3,0.0,222.02,0,222020,326,INPUT,FIXED
out_32,west,met3,0.0,222.7,0,222700,327,OUTPUT,FIXED
oeb_32,west,met3,0.0,223.38,0,223380,328,INPUT,FIXED
in_33,west,met3,0.0,330.82,0,330820,486,INPUT,FIXED
out_33,west,met3,0.0,331.5,0,331500,487,OUTPUT,FIXED
oeb_33,west,met3,0.0,332.18,0,332180,488,INPUT,FIXED
in_34,west,met3,0.0,439.62,0,439620,646,INPUT,FIXED
out_34,west,met3,0.0,440.3,0,440300,647,OUTPUT,FIXED
oeb_34,west,met3,0.0,440.98,0,440980,648,INPUT,FIXED
in_35,west,met3,0.0,548.42,0,548420,806,INPUT,FIXED
out_35,west,met3,0.0,549.1,0,549100,807,OUTPUT,FIXED
oeb_35,west,met3,0.0,549.78,0,549780,808,INPUT,FIXED
in_36,west,met3,0.0,657.22,0,657220,966,INPUT,FIXED
out_36,west,met3,0.0,657.9,0,657900,967,OUTPUT,FIXED
oeb_36,west,met3,0.0,658.58,0,658580,968,INPUT,FIXED
in_37,west,met3,0.0,766.02,0,766020,1126,INPUT,FIXED
out_37,west,met3,0.0,766.7,0,766700,1127,OUTPUT,FIXED
oeb_37,west,met3,0.0,767.38,0,767380,1128,INPUT,FIXED
in_38,west,met3,0.0,874.82,0,874820,1286,INPUT,FIXED
out_38,west,met3,0.0,875.5,0,875500,1287,OUTPUT,FIXED
oeb_38,west,met3,0.0,876.18,0,876180,1288,INPUT,FIXED
in_39,west,met3,0.0,982.94,0,982940,1445,INPUT,FIXED
out_39,west,met3,0.0,983.62,0,983620,1446,OUTPUT,FIXED
oeb_39,west,met3,0.0,984.3,0,984300,1447,INPUT,FIXED
clk,south,met2,501.63,0.0,501630,0,1090,INPUT,FIXED
rst_n,south,met2,502.09,0.0,502090,0,1091,INPUT,FIXED
