cell_name,site_id,x_um,y_um
$abc$9276$auto$blifparse.cc:396:parse_blif$9290,2510,440.1600036621094,15.880000114440918
$abc$9276$auto$blifparse.cc:396:parse_blif$9309,819,465.4599914550781,10.4399995803833
$abc$9276$auto$blifparse.cc:396:parse_blif$9498,46349,263.05999755859375,296.0400085449219
$abc$9276$auto$blifparse.cc:396:parse_blif$9555,35739,260.29998779296875,225.32000732421875
$auto$hilomap.cc:40:hilomap_worker$12031,78528,512.8400268554688,489.1600036621094
$auto$hilomap.cc:40:hilomap_worker$8815,32286,290.6600036621094,209.0
$auto$hilomap.cc:48:hilomap_worker$8817,52037,489.8399963378906,328.67999267578125
$abc$9276$auto$blifparse.cc:396:parse_blif$9282,101082,290.6600036621094,633.3200073242188
$abc$9276$auto$blifparse.cc:396:parse_blif$9308,39274,253.86000061035156,249.8000030517578
$abc$9276$auto$blifparse.cc:396:parse_blif$9417,35660,221.66000366210938,228.0399932861328
$abc$9276$auto$blifparse.cc:396:parse_blif$9435,44455,221.66000366210938,277.0
$abc$9276$auto$blifparse.cc:396:parse_blif$9455,35635,221.66000366210938,222.60000610351562
$abc$9276$auto$blifparse.cc:396:parse_blif$9475,35765,263.05999755859375,230.75999450683594
$abc$9276$auto$blifparse.cc:396:parse_blif$9516,39218,232.6999969482422,247.0800018310547
$abc$9276$auto$blifparse.cc:396:parse_blif$9536,44497,235.0,277.0
$auto$insbuf.cc:97:execute$11712,40982,232.6999969482422,257.9599914550781
$auto$insbuf.cc:97:execute$11713,109824,253.86000061035156,682.280029296875
$auto$insbuf.cc:97:execute$11714,106286,262.6000061035156,657.7999877929688
$auto$insbuf.cc:97:execute$11715,589,336.6600036621094,5.0
$auto$insbuf.cc:97:execute$11716,108089,263.05999755859375,676.8400268554688
$auto$insbuf.cc:97:execute$11717,39237,249.25999450683594,249.8000030517578
$auto$insbuf.cc:97:execute$11718,108138,290.6600036621094,676.8400268554688
$auto$insbuf.cc:97:execute$11719,113257,205.10000610351562,704.0399780273438
$auto$insbuf.cc:97:execute$11720,33913,235.0,211.72000122070312
$auto$insbuf.cc:97:execute$11721,109765,235.0,679.5599975585938
$auto$insbuf.cc:97:execute$11722,51588,226.25999450683594,328.67999267578125
$auto$insbuf.cc:97:execute$11723,104522,262.6000061035156,646.9199829101562
$auto$insbuf.cc:97:execute$11724,42733,235.0,266.1199951171875
$auto$insbuf.cc:97:execute$11725,109729,205.10000610351562,682.280029296875
$auto$insbuf.cc:97:execute$11726,33952,235.4600067138672,219.8800048828125
$auto$insbuf.cc:97:execute$11727,106276,235.4600067138672,665.9600219726562
$auto$insbuf.cc:97:execute$11728,109825,256.1600036621094,682.280029296875
$auto$insbuf.cc:97:execute$11729,39195,207.86000061035156,252.52000427246094
$auto$insbuf.cc:97:execute$11730,104535,260.29998779296875,649.6400146484375
$auto$insbuf.cc:97:execute$11731,39169,205.10000610351562,247.0800018310547
$auto$insbuf.cc:97:execute$11732,37441,235.0,233.47999572753906
$auto$insbuf.cc:97:execute$11733,115047,207.86000061035156,720.3599853515625
$auto$insbuf.cc:97:execute$11734,33926,232.6999969482422,214.44000244140625
$auto$insbuf.cc:97:execute$11735,42795,260.29998779296875,268.8399963378906
$auto$insbuf.cc:97:execute$11736,111640,287.8999938964844,693.1599731445312
$auto$insbuf.cc:97:execute$11737,44454,219.36000061035156,277.0
$auto$insbuf.cc:97:execute$11738,33962,262.6000061035156,211.72000122070312
$auto$insbuf.cc:97:execute$11739,109716,207.39999389648438,679.5599975585938
$auto$insbuf.cc:97:execute$11740,109853,263.05999755859375,687.719970703125
$auto$insbuf.cc:97:execute$11741,37405,205.10000610351562,236.1999969482422
$auto$insbuf.cc:97:execute$11742,44536,235.4600067138672,285.1600036621094
$auto$insbuf.cc:97:execute$11743,33975,260.29998779296875,214.44000244140625
$auto$insbuf.cc:97:execute$11744,111576,258.4599914550781,690.4400024414062
$auto$insbuf.cc:97:execute$11745,111591,260.29998779296875,693.1599731445312
$auto$insbuf.cc:97:execute$11746,42782,262.6000061035156,266.1199951171875
$auto$insbuf.cc:97:execute$11747,62120,221.66000366210938,391.239990234375
$auto$insbuf.cc:97:execute$11748,108063,260.29998779296875,671.4000244140625
$auto$insbuf.cc:97:execute$11749,69228,226.25999450683594,437.4800109863281
$auto$insbuf.cc:97:execute$11750,106325,263.05999755859375,665.9600219726562
$auto$insbuf.cc:97:execute$11751,27081,350.4599914550781,173.63999938964844
$auto$insbuf.cc:97:execute$11752,76253,242.36000061035156,472.8399963378906
$auto$insbuf.cc:97:execute$11753,37529,263.05999755859375,241.63999938964844
$auto$insbuf.cc:97:execute$11755,102748,235.4600067138672,644.2000122070312
$auto$insbuf.cc:97:execute$11756,40933,205.10000610351562,257.9599914550781
$auto$insbuf.cc:97:execute$11757,41008,235.4600067138672,263.3999938964844
$auto$insbuf.cc:97:execute$11758,35677,235.0,222.60000610351562
$auto$insbuf.cc:97:execute$11759,111542,232.6999969482422,693.1599731445312
$auto$insbuf.cc:97:execute$11760,39275,255.6999969482422,249.8000030517578
$auto$insbuf.cc:97:execute$11761,35726,262.6000061035156,222.60000610351562
$auto$insbuf.cc:97:execute$11762,111627,290.20001220703125,690.4400024414062
$auto$insbuf.cc:97:execute$11763,32188,235.4600067138672,209.0
$auto$insbuf.cc:97:execute$11764,113355,260.29998779296875,704.0399780273438
$auto$insbuf.cc:97:execute$11765,111568,235.4600067138672,698.5999755859375
$auto$insbuf.cc:97:execute$11766,40959,207.86000061035156,263.3999938964844
$auto$insbuf.cc:97:execute$11767,46261,235.0,287.8800048828125
$auto$insbuf.cc:97:execute$11768,111617,263.05999755859375,698.5999755859375
$auto$insbuf.cc:97:execute$11769,39303,290.20001220703125,244.36000061035156
$auto$insbuf.cc:97:execute$11770,102771,260.29998779296875,638.760009765625
$auto$insbuf.cc:97:execute$11771,106250,232.6999969482422,660.52001953125
$auto$insbuf.cc:97:execute$11772,40969,235.0,255.24000549316406
$auto$insbuf.cc:97:execute$11773,109836,257.5400085449219,685.0
$auto$insbuf.cc:97:execute$11774,42772,235.4600067138672,274.2799987792969
$auto$insbuf.cc:97:execute$11775,30496,287.8999938964844,192.67999267578125
$auto$insbuf.cc:97:execute$11776,113381,263.05999755859375,709.47998046875
$auto$insbuf.cc:97:execute$11777,108099,290.20001220703125,668.6799926757812
$auto$insbuf.cc:97:execute$11778,37490,262.6000061035156,233.47999572753906
$auto$insbuf.cc:97:execute$11779,108040,235.4600067138672,676.8400268554688
$auto$insbuf.cc:97:execute$11780,108014,232.6999969482422,671.4000244140625
$auto$insbuf.cc:97:execute$11781,113332,235.4600067138672,709.47998046875
$auto$insbuf.cc:97:execute$11782,39156,207.39999389648438,244.36000061035156
$auto$insbuf.cc:97:execute$11783,113342,262.6000061035156,701.3200073242188
$auto$insbuf.cc:97:execute$11784,40972,240.05999755859375,255.24000549316406
