cell_name,site_id,x_um,y_um
$auto$insbuf.cc:97:execute$11804,46,18.8,13.16
$auto$insbuf.cc:97:execute$11805,3573,17.42,36.92
$auto$insbuf.cc:97:execute$11806,2913,677.06,19.6
$auto$insbuf.cc:97:execute$11807,8,19.26,5.0
$auto$insbuf.cc:97:execute$11808,19,14.66,7.72
$auto$insbuf.cc:97:execute$11809,1174,677.06,13.16
$auto$insbuf.cc:97:execute$11810,2934,670.16,25.04
$auto$insbuf.cc:97:execute$11811,27,9.14,10.44
$auto$insbuf.cc:97:execute$11812,2894,667.86,16.880000000000003
$auto$insbuf.cc:97:execute$11813,2914,678.44,19.6
$auto$insbuf.cc:97:execute$11814,2917,665.1,22.32
$auto$insbuf.cc:97:execute$11815,3543,5.46,31.48
$auto$insbuf.cc:97:execute$11816,45,17.42,13.16
$auto$insbuf.cc:97:execute$11817,3530,7.76,28.76
$auto$insbuf.cc:97:execute$11818,1675,993.96,5.0
$auto$insbuf.cc:97:execute$11819,3538,23.86,28.76
$auto$insbuf.cc:97:execute$11820,2918,666.94,22.32
$auto$insbuf.cc:97:execute$11821,3539,26.16,28.76
$auto$insbuf.cc:97:execute$11822,1152,663.26,10.44
$auto$insbuf.cc:97:execute$11823,1522,896.66,5.0
$auto$insbuf.cc:97:execute$11824,32,18.8,10.44
$auto$insbuf.cc:97:execute$11825,2898,676.6,16.880000000000003
$auto$insbuf.cc:97:execute$11826,1146,672.46,7.72
$auto$insbuf.cc:97:execute$11827,3546,11.9,31.48
$auto$insbuf.cc:97:execute$11828,3547,14.66,31.48
$auto$insbuf.cc:97:execute$11829,1781,10.06,19.6
$auto$insbuf.cc:97:execute$11830,3542,5.0,31.48
$auto$insbuf.cc:97:execute$11831,1765,5.46,16.880000000000003
$auto$insbuf.cc:97:execute$11832,1767,10.06,16.880000000000003
$auto$insbuf.cc:97:execute$11833,2899,677.06,16.880000000000003
$auto$insbuf.cc:97:execute$11834,1157,673.84,10.44
$auto$insbuf.cc:97:execute$11835,1698,991.2,10.44
$auto$insbuf.cc:97:execute$11836,81093,991.66,547.76
$auto$insbuf.cc:97:execute$11837,2901,681.66,16.880000000000003
$auto$insbuf.cc:97:execute$11838,2910,672.46,19.6
$auto$insbuf.cc:97:execute$11839,41,7.76,13.16
$auto$insbuf.cc:97:execute$11840,1770,16.96,16.880000000000003
$auto$insbuf.cc:97:execute$11841,96935,1003.16,646.52
$auto$insbuf.cc:97:execute$11842,1782,11.9,19.6
$auto$insbuf.cc:97:execute$11843,1805,7.76,25.04
$auto$insbuf.cc:97:execute$11844,5,14.2,5.0
$auto$insbuf.cc:97:execute$11845,63,33.6,7.72
$auto$insbuf.cc:97:execute$11846,39,5.0,13.16
$auto$insbuf.cc:97:execute$11847,1135,677.06,5.0
$auto$insbuf.cc:97:execute$11848,2920,671.54,22.32
$auto$insbuf.cc:97:execute$11849,1137,681.66,5.0
$auto$insbuf.cc:97:execute$11850,30,16.04,10.44
$auto$insbuf.cc:97:execute$11851,147956,892.06,996.48
$auto$insbuf.cc:97:execute$11852,1670,984.76,5.0
$auto$insbuf.cc:97:execute$11853,9,21.56,5.0
$auto$insbuf.cc:97:execute$11854,31691,1000.86,212.4
$auto$insbuf.cc:97:execute$11855,7,18.8,5.0
$auto$insbuf.cc:97:execute$11856,1792,11.44,22.32
$auto$insbuf.cc:97:execute$11857,24,5.0,10.44
$auto$insbuf.cc:97:execute$11858,147947,894.36,993.76
$auto$insbuf.cc:97:execute$11859,42,10.06,13.16
$auto$insbuf.cc:97:execute$11860,1087,650.76,5.0
$auto$insbuf.cc:97:execute$11861,3570,10.06,36.92
$auto$insbuf.cc:97:execute$11862,1150,678.44,7.72
$auto$insbuf.cc:97:execute$11863,49326,991.2,331.2
$auto$insbuf.cc:97:execute$11864,1774,23.86,16.880000000000003
$auto$insbuf.cc:97:execute$11865,3531,10.06,28.76
$auto$insbuf.cc:97:execute$11866,3550,19.26,31.48
$auto$insbuf.cc:97:execute$11867,4666,683.96,28.76
$auto$insbuf.cc:97:execute$11868,1697,989.82,10.44
$auto$insbuf.cc:97:execute$11869,1768,12.36,16.880000000000003
$auto$insbuf.cc:97:execute$11870,1804,5.46,25.04
$auto$insbuf.cc:97:execute$11871,3535,18.8,28.76
$auto$insbuf.cc:97:execute$11872,4670,663.26,31.48
$auto$insbuf.cc:97:execute$11873,3545,10.06,31.48
$auto$insbuf.cc:97:execute$11874,3554,7.3,34.2
$auto$insbuf.cc:97:execute$11875,1813,33.6,16.880000000000003
$auto$insbuf.cc:97:execute$11876,3548,16.96,31.48
